"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","I","01","02302941","Expolanka Toastmasters Club","Active","Y","34","38","4","10","4","2","2","2","1","1","4","7","7","7","1","1","1","M"
"82","I","01","04903005","CMA SRI LANKA TOASTMASTERS CLUB","Active","Y","11","10","-1","5","2","2","0","1","1","0","4","0","6","6","1","1","1",""
"82","I","01","07287138","Maharagama Toastmasters","Active","Y","28","13","-15","5","2","2","0","3","0","0","4","3","7","6","1","1","1",""
"82","I","01","07855572","Capital Toastmasters Club","Active","Y","22","20","-2","7","3","2","0","2","1","1","4","2","6","7","1","1","1","S"
"82","I","01","28678414","Codegen Toastmasters","Ineligible","Y","21","0","-21","2","0","0","0","0","0","0","4","1","4","1","1","0","1",""
"82","I","02","00907646","IIESL Toastmasters Club","Suspended","Y","9","4","-5","0","1","0","0","0","0","0","3","0","2","0","0","0","1",""
"82","I","02","01122025","Panadura Toastmasters","Active","Y","40","38","-2","10","10","2","8","3","1","2","4","19","7","7","1","1","1","M"
"82","I","02","02321352","Aitken Spence Toastmasters","Active","Y","26","26","0","10","4","2","2","2","1","1","4","11","7","5","1","1","1","M"
"82","I","02","07022211","ITUM Toastmasters Club","Suspended","Y","8","3","-5","1","0","0","0","0","0","0","4","0","1","0","0","0","1",""
"82","I","02","07959271","Improvers Toastmasters Club","Active","Y","13","9","-4","5","5","0","0","0","1","0","4","6","4","1","1","1","1",""
"82","I","03","06602877","Kegalle Toastmasters Club","Active","Y","26","31","5","10","6","2","6","2","1","1","4","16","7","7","1","1","1","M"
"82","I","03","06650357","Dowels Toastmasters Club","Active","Y","25","27","2","10","7","2","4","2","1","1","4","12","7","7","1","1","1","M"
"82","I","03","07794099","Central Link Toastmasters Club","Active","Y","30","33","3","10","7","2","2","2","1","1","4","22","7","7","1","1","1","M"
"82","I","03","07966661","Professionals Beyond Boundaries Toastmasters Club","Active","Y","15","20","5","10","4","2","2","2","1","1","4","7","7","7","1","1","1","P"
"82","I","04","00822324","Kandy Toastmasters Club","Active","Y","24","25","1","10","5","2","2","2","1","2","4","8","7","7","1","1","1","M"
"82","I","04","07232170","Kandy Lions Toastmasters Club","Active","Y","22","20","-2","9","4","2","2","3","1","1","4","6","4","1","1","1","1","P"
"82","I","04","07856902","Digana Toastmasters","Ineligible","Y","13","0","-13","1","0","0","0","0","0","0","2","0","0","0","1","0","1",""
"82","I","04","07913101","Peradeniya University Toastmasters Club","Active","Y","15","16","1","8","5","2","0","2","1","0","4","7","5","4","1","1","1",""
"82","I","04","28679036","Esoft Uni Kandy Toastmasters Club","Active","Y","20","8","-12","1","0","0","0","0","0","0","4","0","6","1","0","0","1",""
Month of May, As of 06/05/2026
